"mineral name","point group","space group"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(Ce)"," "," "
"Allanite-(Ce)"," "," "
"Allanite-(Ce)"," "," "
"Allanite-(Ce)"," "," "
"Allanite-(Ce)","2/m","P21/m"
"Allanite-(La)","2/m","P21/m"
"Allanite-(La)"," "," "
"Allanite-(La)","2/m","P21/m"
"Allanite-(Nd)","2/m","P21/m"
"Allanite-(Nd)","2/m","P21/m"
"Allanite-(Nd)","2/m","P21/m"
"Allanite-(Y)"," "," "
"Allanpringite","2/m","P21/n"
"Allanpringite"," "," "
"Allanpringite","2/m","P21/n"
"Allantoin","2/m","P21/c"
"Allargentum","6/m2/m2/m","P63/mmc"
"Allargentum","6/m2/m2/m","P63/mmc"
"Allargentum","6/m2/m2/m","P63/mmc"
"Allargentum","6/m2/m2/m","P63/mmc"
"Alleghanyite"," "," "
"Alleghanyite"," "," "
"Alleghanyite","2/m","P21/b"
"Allendeite",3,"R3"
"Allendeite","6/m2/m2/m","P63/mmc"
"Allochalcoselite","2/m","C2/m"
"Alloclasite"," "," "
"Alloclasite",2,"P21"
"Alloriite"," "," "
"Alloriite","3mm","P31c"
"Alluaivite","32/m2/m","R3m"
"Alluaudite"," "," "
"Alluaudite"," "," "
"Alluaudite"," "," "
"Alluaudite"," "," "
"Alluaudite","2/m","C2/c"
"Alluaudite","2/m","C2/c"
"Alluaudite","2/m","C2/c"
"Alluaudite","2/m","C2/c"
"Alluaudite","2/m","C2/c"
"Alluaudite","2/m","C2/c"
"Alluaudite","2/m","C2/c"
"Alluaudite","2/m","C2/c"
"Alluaudite","2/m","C2/c"
"Alluaudite","2/m","C2/c"
"Alluaudite","2/m","C2/c"
"Alluaudite","2/m","C2/c"
"Alluaudite","2/m","C2/c"
"Alluaudite","2/m","C2/c"
"Almandine"," "," "
"Almandine"," "," "
"Almandine"," "," "
"Almandine"," "," "
"Almandine"," "," "
"Almandine"," "," "
"Almandine"," "," "
"Almandine"," "," "
"Almandine"," "," "
"Almandine"," "," "
"Almandine"," "," "
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
"Almandine","4/m32/m","Ia3d"
