,mineral name,point group,space group
11268,Kirchhoffite,4/m2/m2/m,I41/acd
11270,Kirkiite,2/m,P21/m
11272,Kirschsteinite,2/m2/m2/m,Pbnm
11278,Kiryuite,2/m,P21/m
11279,Kishonite,4/m32/m,Fm3m
11280,Kitagohaite,4/m32/m,Fm3m
11282,Kitkaite,32/m2/m,P3m1
11283,Kladnoite,2/m,P21/n
11284,Klajite,1,P1
11286,Klaprothite,2/m,P21/c
11288,Klebelsbergite,2mm,Pca21
11290,Kleberite,2/m,P21/c
11294,Kleinite,6/m2/m2/m,P63/mmc
11295,Klochite,6/m2/m2/m,P6/mcc
11296,Klockmannite,6/m2/m2/m,P63/mmc
11298,Klyuchevskite,2,I2
11299,Knasibfite,2mm,Imm2
11300,Knorringite,4/m32/m,Ia3d
11304,Kobellite,2/m2/m2/m,Pnnm
11307,Kobyashevite,1,P1
11309,Kochite,1,P1
11310,Kochkarite,32/m2/m,P3m1
11312,Kochsandorite,2/m2/m2/m,Pnma
11313,Kodamaite,1,P1
11314,Koechlinite,2mm,Pca21
11316,Koenenite,32/m2/m,R3m
11317,Koenenite,32/m2/m,P3m1
11318,Kogarkoite,2/m,P21/m
11319,Kogarkoite,3mm,R3m
11320,Kojonenite,4/m2/m2/m,I4/mmm
11323,Kokinosite,1,P1
11324,Koksharovite,1,P1
11329,Kolbeckite,2/m,P21/n
11332,Kolicite,2/m2/m2/m,Cmca
11333,Kolitschite,2/m,C2/c
11334,Kollerite,2/m2/m2/m,Cmcm
11335,Kolskyite,1,P1
11338,Kolymite,43m,I43m
11342,Kombatite,2/m,C2/c
11343,Komkovite,322,R32
11347,Kononovite,2/m,C2/c
11348,Konyaite,2/m,P21/c
11350,Koragoite,2,P21
11352,Koritnigite,1,P1
11353,Kornelite,2/m,P21/n
11359,Kornerupine,2/m2/m2/m,Cmcm
11361,Korobitsynite,2/m2/m2/m,Pbam
11367,Korshunovskite,1,P1
11368,Koryakite,3,R3
11369,Kosmochlor,2/m,C2/c
11395,Kosnarite,32/m2/m,R3c
11396,Kostylevite,2/m,P21/b
11398,Kotoite,2/m2/m2/m,Pnmn
11399,Kottenheimite,6/m,P63/m
11400,Kottigite,2/m,C2/m
11404,Kotulskite,6mm,P63mc
11405,Koutekite,2/m2/m2/m,Ibam
11408,Kovdorskite,2/m,P21/a
11410,Kozlowskiite,1,C1
11411,Kozoite-(La),2/m2/m2/m,Pmcn
11412,Kozoite-(Nd),2/m2/m2/m,Pmcn
11413,Kozoite-(Nd),2/m2/m2/m,Pnma
11416,Kozyrevskite,2/m2/m2/m,Pnma
11419,Kraisslite,622,P6322
11420,Kraisslite,222,C2221
11421,Krasheninnikovite,6/m2/m2/m,P63/mcm
11423,Krasnoite,32/m2/m,P3m1
11425,Krasnoshteinite,2,P21
11428,Kratochvilite,2/m2/m2/m,Pnma
11429,Kratochvilite,2/m2/m2/m,Pnam
11430,Krausite,2/m,P21/m
11435,Krauskopfite,2/m,P21/c
11436,Krautite,2,P21
11437,Kravtsovite,2/m2/m2/m,Cmcm
11438,Kreiterite,2/m,C2/m
11439,Kremersite,2/m2/m2/m,Pnma
11441,Krennerite,2mm,Pma2
11445,Krettnichite,2/m,C2/m
11446,Krieselite,2/m2/m2/m,Pnma
