mineral name,point group,space group
Bytizite,2/m2/m2/m,Pnma
Byzantievite,3,R3
Cabalzarite,2/m,C2/m
Cabriite,2/m2/m2/m,Pmmm
Cabvinite,4/m,I4/m
Cacoxenite,6/m,P63/m
Cadmium,6/m2/m2/m,P63/mmc
Cadmoindite,4/m32/m,Fd3m
Cadmoselite,6mm,P63mc
Caesiumpharmacosiderite,43m,P43m
Cafarsite,332/m,Pn3
Cafetite,2/m,P21/n
Cahnite,4,I4
Calamaite,2/m2/m2/m,Ibam
Calaverite,2/m; 32/m2/m; m,C2/m; P3m1; Pc
Calciborite,2/m2/m2/m,Pccn
Calcinaksite,1,P1
Calcio-olivine,2/m2/m2/m,Pbnm
Calcioancylite-(Ce),2/m2/m2/m,Pmmm
Calcioancylite-(La),2/m2/m2/m,Pmcn
Calcioancylite-(Nd),m,Pm
Calcioandyrobertsite,2/m2/m2/m,Pnma
Calcioaravaipaite,1; 1,C1; P1
Calcioburbankite,2; 2mm; 6mm,P21; Cmc21; P63mc
Calciocatapleiite,2/m2/m2/m,Pbnn
Calciocopiapite,1,P1
